query_idx,bucket,input_tokens,condition,cloud,model,latency_ms,cost_usd,success
0,short,19,static_aws,aws,mistral-7b,996.2,0.01965,True
0,short,19,static_azure,azure,mistral-7b,881.7,0.02174,True
0,short,19,round_robin,aws,mistral-7b,996.2,0.01965,True
0,short,19,predictive,azure,mistral-7b,881.7,0.02174,True
1,medium,181,static_aws,aws,mistral-7b,996.2,0.1054,True
1,medium,181,static_azure,azure,mistral-7b,881.7,0.11661,True
1,medium,181,round_robin,azure,mistral-7b,881.7,0.11661,True
1,medium,181,predictive,azure,mistral-7b,881.7,0.11661,True
2,short,13,static_aws,aws,mistral-7b,996.2,0.01846,True
2,short,13,static_azure,azure,mistral-7b,881.7,0.02042,True
2,short,13,round_robin,aws,mistral-7b,996.2,0.01846,True
2,short,13,predictive,azure,mistral-7b,881.7,0.02042,True
3,short,34,static_aws,aws,mistral-7b,996.2,0.02263,True
3,short,34,static_azure,azure,mistral-7b,881.7,0.02503,True
3,short,34,round_robin,azure,mistral-7b,881.7,0.02503,True
3,short,34,predictive,azure,mistral-7b,881.7,0.02503,True
4,short,35,static_aws,aws,mistral-7b,996.2,0.02283,True
4,short,35,static_azure,azure,mistral-7b,881.7,0.02525,True
4,short,35,round_robin,aws,mistral-7b,996.2,0.02283,True
4,short,35,predictive,azure,mistral-7b,881.7,0.02525,True
5,short,17,static_aws,aws,mistral-7b,996.2,0.01925,True
5,short,17,static_azure,azure,mistral-7b,881.7,0.0213,True
5,short,17,round_robin,azure,mistral-7b,881.7,0.0213,True
5,short,17,predictive,azure,mistral-7b,881.7,0.0213,True
6,medium,377,static_aws,aws,mistral-7b,996.2,0.14431,True
6,medium,377,static_azure,azure,mistral-7b,881.7,0.15965,True
6,medium,377,round_robin,aws,mistral-7b,996.2,0.14431,True
6,medium,377,predictive,azure,mistral-7b,881.7,0.15965,True
7,short,12,static_aws,aws,mistral-7b,996.2,0.01826,True
7,short,12,static_azure,azure,mistral-7b,881.7,0.0202,True
7,short,12,round_robin,azure,mistral-7b,881.7,0.0202,True
7,short,12,predictive,azure,mistral-7b,881.7,0.0202,True
8,short,37,static_aws,aws,mistral-7b,996.2,0.02322,True
8,short,37,static_azure,azure,mistral-7b,881.7,0.02569,True
8,short,37,round_robin,aws,mistral-7b,996.2,0.02322,True
8,short,37,predictive,azure,mistral-7b,881.7,0.02569,True
9,medium,378,static_aws,aws,mistral-7b,996.2,0.14451,True
9,medium,378,static_azure,azure,mistral-7b,881.7,0.15987,True
9,medium,378,round_robin,azure,mistral-7b,881.7,0.15987,True
9,medium,378,predictive,azure,mistral-7b,881.7,0.15987,True
10,medium,154,static_aws,aws,mistral-7b,996.2,0.10004,True
10,medium,154,static_azure,azure,mistral-7b,881.7,0.11068,True
10,medium,154,round_robin,aws,mistral-7b,996.2,0.10004,True
10,medium,154,predictive,azure,mistral-7b,881.7,0.11068,True
11,medium,235,static_aws,aws,mistral-7b,996.2,0.11612,True
11,medium,235,static_azure,azure,mistral-7b,881.7,0.12847,True
11,medium,235,round_robin,azure,mistral-7b,881.7,0.12847,True
11,medium,235,predictive,azure,mistral-7b,881.7,0.12847,True
12,short,81,static_aws,aws,mistral-7b,996.2,0.03196,True
12,short,81,static_azure,azure,mistral-7b,881.7,0.03536,True
12,short,81,round_robin,aws,mistral-7b,996.2,0.03196,True
12,short,81,predictive,azure,mistral-7b,881.7,0.03536,True
13,short,50,static_aws,aws,mistral-7b,996.2,0.02581,True
13,short,50,static_azure,azure,mistral-7b,881.7,0.02855,True
13,short,50,round_robin,azure,mistral-7b,881.7,0.02855,True
13,short,50,predictive,azure,mistral-7b,881.7,0.02855,True
14,medium,117,static_aws,aws,mistral-7b,996.2,0.0927,True
14,medium,117,static_azure,azure,mistral-7b,881.7,0.10255,True
14,medium,117,round_robin,aws,mistral-7b,996.2,0.0927,True
14,medium,117,predictive,azure,mistral-7b,881.7,0.10255,True
15,short,13,static_aws,aws,mistral-7b,996.2,0.01846,True
15,short,13,static_azure,azure,mistral-7b,881.7,0.02042,True
15,short,13,round_robin,azure,mistral-7b,881.7,0.02042,True
15,short,13,predictive,azure,mistral-7b,881.7,0.02042,True
16,medium,427,static_aws,aws,mistral-7b,996.2,0.15423,True
16,medium,427,static_azure,azure,mistral-7b,881.7,0.17063,True
16,medium,427,round_robin,aws,mistral-7b,996.2,0.15423,True
16,medium,427,predictive,azure,mistral-7b,881.7,0.17063,True
17,short,18,static_aws,aws,mistral-7b,996.2,0.01945,True
17,short,18,static_azure,azure,mistral-7b,881.7,0.02152,True
17,short,18,round_robin,azure,mistral-7b,881.7,0.02152,True
17,short,18,predictive,azure,mistral-7b,881.7,0.02152,True
18,short,24,static_aws,aws,mistral-7b,996.2,0.02064,True
18,short,24,static_azure,azure,mistral-7b,881.7,0.02284,True
18,short,24,round_robin,aws,mistral-7b,996.2,0.02064,True
18,short,24,predictive,azure,mistral-7b,881.7,0.02284,True
19,medium,174,static_aws,aws,mistral-7b,996.2,0.10401,True
19,medium,174,static_azure,azure,mistral-7b,881.7,0.11507,True
19,medium,174,round_robin,azure,mistral-7b,881.7,0.11507,True
19,medium,174,predictive,azure,mistral-7b,881.7,0.11507,True
20,medium,321,static_aws,aws,mistral-7b,996.2,0.13319,True
20,medium,321,static_azure,azure,mistral-7b,881.7,0.14735,True
20,medium,321,round_robin,aws,mistral-7b,996.2,0.13319,True
20,medium,321,predictive,azure,mistral-7b,881.7,0.14735,True
21,medium,170,static_aws,aws,mistral-7b,996.2,0.10322,True
21,medium,170,static_azure,azure,mistral-7b,881.7,0.11419,True
21,medium,170,round_robin,azure,mistral-7b,881.7,0.11419,True
21,medium,170,predictive,azure,mistral-7b,881.7,0.11419,True
22,medium,202,static_aws,aws,mistral-7b,996.2,0.10957,True
22,medium,202,static_azure,azure,mistral-7b,881.7,0.12122,True
22,medium,202,round_robin,aws,mistral-7b,996.2,0.10957,True
22,medium,202,predictive,azure,mistral-7b,881.7,0.12122,True
23,medium,291,static_aws,aws,mistral-7b,996.2,0.12724,True
23,medium,291,static_azure,azure,mistral-7b,881.7,0.14076,True
23,medium,291,round_robin,azure,mistral-7b,881.7,0.14076,True
23,medium,291,predictive,azure,mistral-7b,881.7,0.14076,True
24,short,22,static_aws,aws,mistral-7b,996.2,0.02025,True
24,short,22,static_azure,azure,mistral-7b,881.7,0.0224,True
24,short,22,round_robin,aws,mistral-7b,996.2,0.02025,True
24,short,22,predictive,azure,mistral-7b,881.7,0.0224,True
25,short,80,static_aws,aws,mistral-7b,996.2,0.03176,True
25,short,80,static_azure,azure,mistral-7b,881.7,0.03514,True
25,short,80,round_robin,azure,mistral-7b,881.7,0.03514,True
25,short,80,predictive,azure,mistral-7b,881.7,0.03514,True
26,short,54,static_aws,aws,mistral-7b,996.2,0.0266,True
26,short,54,static_azure,azure,mistral-7b,881.7,0.02943,True
26,short,54,round_robin,aws,mistral-7b,996.2,0.0266,True
26,short,54,predictive,azure,mistral-7b,881.7,0.02943,True
27,short,32,static_aws,aws,mistral-7b,996.2,0.02223,True
27,short,32,static_azure,azure,mistral-7b,881.7,0.0246,True
27,short,32,round_robin,azure,mistral-7b,881.7,0.0246,True
27,short,32,predictive,azure,mistral-7b,881.7,0.0246,True
