query_idx,bucket,input_tokens,condition,cloud,model,latency_ms,cost_usd,success
0,short,19,static_aws,aws,mistral-7b,893.4,0.02361,True
0,short,19,static_azure,azure,mistral-7b,739.3,0.0209,True
0,short,19,round_robin,aws,mistral-7b,893.4,0.02361,True
0,short,19,predictive,azure,mistral-7b,739.3,0.0209,True
1,medium,181,static_aws,aws,mistral-7b,893.4,0.12664,True
1,medium,181,static_azure,azure,mistral-7b,739.3,0.11209,True
1,medium,181,round_robin,azure,mistral-7b,739.3,0.11209,True
1,medium,181,predictive,azure,mistral-7b,739.3,0.11209,True
2,short,13,static_aws,aws,mistral-7b,893.4,0.02218,True
2,short,13,static_azure,azure,mistral-7b,739.3,0.01963,True
2,short,13,round_robin,aws,mistral-7b,893.4,0.02218,True
2,short,13,predictive,azure,mistral-7b,739.3,0.01963,True
3,short,34,static_aws,aws,mistral-7b,893.4,0.02719,True
3,short,34,static_azure,azure,mistral-7b,739.3,0.02407,True
3,short,34,round_robin,azure,mistral-7b,739.3,0.02407,True
3,short,34,predictive,azure,mistral-7b,739.3,0.02407,True
4,short,35,static_aws,aws,mistral-7b,893.4,0.02743,True
4,short,35,static_azure,azure,mistral-7b,739.3,0.02428,True
4,short,35,round_robin,aws,mistral-7b,893.4,0.02743,True
4,short,35,predictive,azure,mistral-7b,739.3,0.02428,True
5,short,17,static_aws,aws,mistral-7b,893.4,0.02313,True
5,short,17,static_azure,azure,mistral-7b,739.3,0.02048,True
5,short,17,round_robin,azure,mistral-7b,739.3,0.02048,True
5,short,17,predictive,azure,mistral-7b,739.3,0.02048,True
6,medium,377,static_aws,aws,mistral-7b,893.4,0.17339,True
6,medium,377,static_azure,azure,mistral-7b,739.3,0.15347,True
6,medium,377,round_robin,aws,mistral-7b,893.4,0.17339,True
6,medium,377,predictive,azure,mistral-7b,739.3,0.15347,True
7,short,12,static_aws,aws,mistral-7b,893.4,0.02194,True
7,short,12,static_azure,azure,mistral-7b,739.3,0.01942,True
7,short,12,round_robin,azure,mistral-7b,739.3,0.01942,True
7,short,12,predictive,azure,mistral-7b,739.3,0.01942,True
8,short,37,static_aws,aws,mistral-7b,893.4,0.0279,True
8,short,37,static_azure,azure,mistral-7b,739.3,0.0247,True
8,short,37,round_robin,aws,mistral-7b,893.4,0.0279,True
8,short,37,predictive,azure,mistral-7b,739.3,0.0247,True
9,medium,378,static_aws,aws,mistral-7b,893.4,0.17363,True
9,medium,378,static_azure,azure,mistral-7b,739.3,0.15368,True
9,medium,378,round_robin,azure,mistral-7b,739.3,0.15368,True
9,medium,378,predictive,azure,mistral-7b,739.3,0.15368,True
10,medium,154,static_aws,aws,mistral-7b,893.4,0.1202,True
10,medium,154,static_azure,azure,mistral-7b,739.3,0.10639,True
10,medium,154,round_robin,aws,mistral-7b,893.4,0.1202,True
10,medium,154,predictive,azure,mistral-7b,739.3,0.10639,True
11,medium,235,static_aws,aws,mistral-7b,893.4,0.13952,True
11,medium,235,static_azure,azure,mistral-7b,739.3,0.12349,True
11,medium,235,round_robin,azure,mistral-7b,739.3,0.12349,True
11,medium,235,predictive,azure,mistral-7b,739.3,0.12349,True
12,short,81,static_aws,aws,mistral-7b,893.4,0.0384,True
12,short,81,static_azure,azure,mistral-7b,739.3,0.03399,True
12,short,81,round_robin,aws,mistral-7b,893.4,0.0384,True
12,short,81,predictive,azure,mistral-7b,739.3,0.03399,True
13,short,50,static_aws,aws,mistral-7b,893.4,0.03101,True
13,short,50,static_azure,azure,mistral-7b,739.3,0.02744,True
13,short,50,round_robin,azure,mistral-7b,739.3,0.02744,True
13,short,50,predictive,azure,mistral-7b,739.3,0.02744,True
14,medium,117,static_aws,aws,mistral-7b,893.4,0.11138,True
14,medium,117,static_azure,azure,mistral-7b,739.3,0.09858,True
