query_idx,bucket,input_tokens,condition,cloud,model,latency_ms,cost_usd,success
0,short,91,static_aws,aws,mistral-7b,976.6,0.03138,True
0,short,91,static_azure,azure,mistral-7b,815.4,0.04696,True
0,short,91,round_robin,aws,mistral-7b,976.6,0.03138,True
0,short,91,predictive,azure,mistral-7b,815.4,0.04696,True
1,short,18,static_aws,aws,mistral-7b,976.6,0.01798,True
1,short,18,static_azure,azure,mistral-7b,815.4,0.02691,True
1,short,18,round_robin,azure,mistral-7b,815.4,0.02691,True
1,short,18,predictive,azure,mistral-7b,815.4,0.02691,True
2,medium,132,static_aws,aws,mistral-7b,976.6,0.08845,True
2,medium,132,static_azure,azure,mistral-7b,815.4,0.13236,True
2,medium,132,round_robin,aws,mistral-7b,976.6,0.08845,True
2,medium,132,predictive,azure,mistral-7b,815.4,0.13236,True
3,medium,200,static_aws,aws,mistral-7b,976.6,0.10093,True
3,medium,200,static_azure,azure,mistral-7b,815.4,0.15103,True
3,medium,200,round_robin,azure,mistral-7b,815.4,0.15103,True
3,medium,200,predictive,azure,mistral-7b,815.4,0.15103,True
4,short,12,static_aws,aws,mistral-7b,976.6,0.01688,True
4,short,12,static_azure,azure,mistral-7b,815.4,0.02526,True
4,short,12,round_robin,aws,mistral-7b,976.6,0.01688,True
4,short,12,predictive,azure,mistral-7b,815.4,0.02526,True
