query_idx,bucket,input_tokens,condition,cloud,model,latency_ms,cost_usd,success
0,short,91,static_aws,aws,mistral-7b,930.8,0.02943,True
0,short,91,static_azure,azure,mistral-7b,753.3,0.04266,True
0,short,91,round_robin,aws,mistral-7b,930.8,0.02943,True
0,short,91,predictive,azure,mistral-7b,753.3,0.04266,True
1,short,18,static_aws,aws,mistral-7b,930.8,0.01687,True
1,short,18,static_azure,azure,mistral-7b,753.3,0.02445,True
1,short,18,round_robin,azure,mistral-7b,753.3,0.02445,True
1,short,18,predictive,azure,mistral-7b,753.3,0.02445,True
2,medium,132,static_aws,aws,mistral-7b,930.8,0.08295,True
2,medium,132,static_azure,azure,mistral-7b,753.3,0.12026,True
2,medium,132,round_robin,aws,mistral-7b,930.8,0.08295,True
2,medium,132,predictive,azure,mistral-7b,753.3,0.12026,True
3,medium,200,static_aws,aws,mistral-7b,930.8,0.09466,True
3,medium,200,static_azure,azure,mistral-7b,753.3,0.13723,True
3,medium,200,round_robin,azure,mistral-7b,753.3,0.13723,True
3,medium,200,predictive,azure,mistral-7b,753.3,0.13723,True
4,short,12,static_aws,aws,mistral-7b,930.8,0.01583,True
4,short,12,static_azure,azure,mistral-7b,753.3,0.02295,True
4,short,12,round_robin,aws,mistral-7b,930.8,0.01583,True
4,short,12,predictive,azure,mistral-7b,753.3,0.02295,True
